sku,location_id,part_name,category,city,country_code,climate_zone,forecast_21d_units,forecast_avg_daily,forecast_peak_day_units,avg_temp_c,min_temp_c,max_temp_c,rain_days,snow_days,cold_snap_days,heatwave_days,weather_spike_days,temperature_drop_days,temperature_rise_days,payday_window_days,cold_risk_days,heat_risk_days,wet_risk_days,weather_risk_days,business_trigger_days,baseline_avg_daily,baseline_last_21d_units,baseline_21d_units,uplift_vs_baseline_percent,seasonality_score,weather_sensitivity_score,business_impact_score,current_stock,safety_stock,optimal_stock,min_order_qty,lead_time_days,pending_order_qty,supplier_id,supplier_name,supplier_country_code,reliability_score,avg_delay_days,available_stock,lead_time_demand,projected_stock_after_21d,coverage_days,required_stock,raw_reorder_need,recommended_order_qty,risk_status,lost_sales_risk_units,reorder_message,recommended_action,recommended_qty,priority,explanation
PEU-WINTER-TIRE-205,EE_TLL,Anvelopa iarna 205/55R16,tires,Tallinn,Estonia,Nordic,261.6292,12.458533333333335,14.2809,-5.933333333333333,-7.29,-4.45,0,21,17,0,0,0,0,3,21,0,21,21,21,18.196428571428573,329.0,382.12500000000006,-31.53,2.749,1.3021,91.32,132,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,132,261.6292,-129.62920000000003,10.59514678599299,297.9101,165.9101,254,critical,129.63,Order 254 buc pentru a acoperi lead time + safety stock.,order,235,high,"Risc stockout: 10.7 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,PL_WAW,Anvelopa iarna 205/55R16,tires,Warsaw,Poland,Central,193.2879,9.204185714285714,11.1245,-1.7014285714285713,-3.21,-0.84,0,21,0,0,0,0,0,3,21,0,21,21,21,12.75,235.0,267.75,-27.81,2.4471,1.0051,83.08,164,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,164,193.28789999999998,-29.287900000000008,17.817978392969525,226.4124,62.41239999999999,127,critical,29.29,Order 127 buc pentru a acoperi lead time + safety stock.,order,111,high,"Risc stockout: 18.2 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,DE_BER,Anvelopa iarna 205/55R16,tires,Berlin,Germany,Central,183.7675,8.750833333333334,10.8401,0.1404761904761904,-1.21,0.86,0,21,0,0,0,0,0,0,21,0,21,21,21,12.535714285714286,220.0,263.25,-30.19,2.4815,1.098,84.17,162,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,162,183.7675,-21.767500000000013,18.51252050137848,216.60760000000002,54.60760000000002,116,critical,21.77,Order 116 buc pentru a acoperi lead time + safety stock.,order,102,high,"Risc stockout: 18.7 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,CZ_PRG,Anvelopa iarna 205/55R16,tires,Prague,Czechia,Central,184.9566,8.807457142857142,10.7861,-1.0623809523809524,-2.47,0.02,0,21,0,0,0,0,0,3,21,0,21,21,21,12.285714285714286,232.0,258.0,-28.31,2.4538,1.0603,82.71,165,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,165,184.95659999999998,-19.95660000000001,18.734122527032977,217.74269999999999,52.742699999999985,115,critical,19.96,Order 115 buc pentru a acoperi lead time + safety stock.,order,101,high,"Risc stockout: 19.0 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,RO_BUC,Anvelopa iarna 205/55R16,tires,Bucharest,Romania,East,179.2716,8.536742857142858,10.2594,-0.7733333333333334,-2.37,0.23,0,21,0,0,0,0,0,3,21,0,21,21,21,11.821428571428571,217.0,248.25,-27.79,2.4649,1.1254,82.94,166,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,166,179.27160000000003,-13.271600000000007,19.44535326090458,211.53100000000003,45.531000000000034,106,critical,13.27,Order 106 buc pentru a acoperi lead time + safety stock.,order,92,high,"Risc stockout: 19.7 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,DK_CPH,Anvelopa iarna 205/55R16,tires,Copenhagen,Denmark,North_Central,179.8566,8.5646,10.6426,1.08,-0.06,2.6,0,16,0,0,0,0,0,0,16,0,16,16,16,12.035714285714286,198.0,252.75000000000003,-28.84,2.5575,1.0995,83.87,173,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,173,179.85660000000001,-6.856599999999986,20.199423183870447,212.4992,39.4992,100,critical,6.86,Order 100 buc pentru a acoperi lead time + safety stock.,order,44,high,"Risc stockout: 20.4 zile acoperire vs lead time 21 zile. Segment slow-moving: comanda este plafonata pentru a evita overstock. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,FR_PAR,Anvelopa iarna 205/55R16,tires,Paris,France,West,174.7341,8.32067142857143,9.687,4.016666666666667,2.64,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.803571428571429,207.0,268.875,-35.01,2.6189,1.1633,86.41,173,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,173,174.7341,-1.7341000000000122,20.791588839136917,206.42110000000002,33.421100000000024,92,critical,1.73,Order 92 buc pentru a acoperi lead time + safety stock.,order,81,high,"Risc stockout: 20.9 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WF-WINTER-5L,FR_PAR,Lichid parbriz iarna -20C 5L,winter_fluids,Paris,France,West,429.6181,20.458004761904764,25.1161,4.016666666666667,2.64,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.142857142857142,536.0,486.0,-11.6,1.8736,0.5953,68.29,384,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,384,286.4120666666667,-45.61810000000003,18.770157974784304,391.5281666666667,7.528166666666721,151,high,45.62,Order 151 buc pentru a acoperi lead time + safety stock.,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WF-WINTER-5L,NL_AMS,Lichid parbriz iarna -20C 5L,winter_fluids,Amsterdam,Netherlands,West,426.3015,20.300071428571428,24.8553,2.947142857142857,1.6,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,22.392857142857142,522.0,470.25,-9.35,1.887,0.6303,68.68,388,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,388,284.201,-38.301499999999976,19.113232298319666,389.0563,1.0563000000000216,144,high,38.3,Order 144 buc pentru a acoperi lead time + safety stock.,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WF-WINTER-5L,IT_MIL,Lichid parbriz iarna -20C 5L,winter_fluids,Milan,Italy,South,415.4307,19.782414285714285,22.682,5.016190476190476,3.72,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,21.982142857142858,509.0,461.625,-10.01,1.8699,0.605,67.45,395,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,395,276.9538,-20.4307,19.96722818195239,379.6358,-15.364199999999983,139,high,20.43,Order 139 buc pentru a acoperi lead time + safety stock.,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-WF-WINTER-5L,ES_MAD,Lichid parbriz iarna -20C 5L,winter_fluids,Madrid,Spain,South,404.7378,19.27322857142857,21.5207,7.093809523809524,5.75,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,21.303571428571427,493.0,447.375,-9.53,1.8811,0.6217,67.66,399,80,160,80,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,399,269.8252,-5.737799999999993,20.70229063174207,371.3459,-27.654100000000028,135,high,5.74,Order 135 buc pentru a acoperi lead time + safety stock.,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-BATT-70AH,FI_HEL,Baterie 70Ah AGM/EFB,battery,Helsinki,Finland,Nordic,140.338,6.682761904761905,7.2483,-6.748571428571428,-8.29,-5.81,0,21,21,0,0,0,0,0,21,0,21,21,21,6.5,150.0,136.5,2.81,0.551,0.6267,66.53,139,10,20,10,10,0,SUP-ELECTRIC-DE,Rhine Electric Parts,DE,0.91,0.8,139,66.82761904761905,-1.3379999999999939,20.799780267672435,84.07591904761905,-54.92408095238095,47,high,1.34,Order 47 buc pentru a acoperi lead time + safety stock.,monitor,0,low,"Stocul acopera forecast-ul pe orizontul analizat. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,NL_AMS,Anvelopa iarna 205/55R16,tires,Amsterdam,Netherlands,West,169.0712,8.051009523809524,9.0796,2.947142857142857,1.6,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,12.232142857142858,200.0,256.875,-34.18,2.5681,1.1754,85.19,175,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,175,169.0712,5.928799999999995,21.736401844522078,200.1508,25.150800000000004,82,medium,0.0,Order 82 buc pentru a acoperi lead time + safety stock.,order,72,medium,"Risc stockout: 21.8 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,IT_MIL,Anvelopa iarna 205/55R16,tires,Milan,Italy,South,163.4512,7.783390476190476,8.5313,5.016190476190476,3.72,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,11.982142857142858,193.0,251.625,-35.04,2.564,1.1565,84.4,179,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,179,163.4512,15.5488,22.997686875645915,193.9825,14.982499999999987,70,medium,0.0,Order 70 buc pentru a acoperi lead time + safety stock.,order,60,medium,"Risc stockout: 23.1 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-WINTER-TIRE-205,ES_MAD,Anvelopa iarna 205/55R16,tires,Madrid,Spain,South,161.6672,7.698438095238096,8.4391,7.093809523809524,5.75,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,11.642857142857142,190.0,244.5,-33.88,2.5863,1.1345,84.0,180,22,44,22,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,180,161.6672,18.33279999999999,23.38136312740849,192.1063,12.106300000000005,66,medium,0.0,Order 66 buc pentru a acoperi lead time + safety stock.,order,56,medium,"Risc stockout: 23.6 zile acoperire vs lead time 21 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-COOLANT-PREMIX,FI_HEL,Lichid racire premix 5L,coolant,Helsinki,Finland,Nordic,192.3313,9.158633333333333,10.2687,-6.748571428571428,-8.29,-5.81,0,21,21,0,0,0,0,0,21,0,21,21,21,11.607142857142858,234.0,243.75,-21.09,0.8871,0.3462,61.9,206,30,60,30,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,206,128.22086666666667,13.668700000000001,22.492436372336883,168.48956666666666,-37.51043333333334,65,medium,0.0,Order 65 buc pentru a acoperi lead time + safety stock.,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,EE_TLL,Lichid racire premix 5L,coolant,Tallinn,Estonia,Nordic,191.9003,9.138109523809524,10.6283,-5.933333333333333,-7.29,-4.45,0,21,17,0,0,0,0,3,21,0,21,21,21,10.714285714285714,221.0,225.0,-14.71,0.8516,0.3634,59.19,209,30,60,30,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,209,127.93353333333333,17.099700000000013,22.871248870917732,168.56183333333334,-40.43816666666666,64,medium,0.0,Order 64 buc pentru a acoperi lead time + safety stock.,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-COOLANT-PREMIX,SE_STO,Lichid racire premix 5L,coolant,Stockholm,Sweden,Nordic,185.2922,8.823438095238096,10.0515,-4.496666666666667,-5.53,-3.03,0,21,9,0,0,0,0,0,21,0,21,21,21,10.571428571428571,222.0,222.0,-16.54,0.8308,0.3336,57.8,210,30,60,30,14,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,210,123.52813333333334,24.70779999999999,23.800243616271402,163.57963333333336,-46.42036666666664,62,medium,0.0,Order 62 buc pentru a acoperi lead time + safety stock.,monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-BATT-70AH,EE_TLL,Baterie 70Ah AGM/EFB,battery,Tallinn,Estonia,Nordic,137.2103,6.533823809523809,7.25,-5.933333333333333,-7.29,-4.45,0,21,17,0,0,0,0,3,21,0,21,21,21,5.946428571428571,143.0,124.875,9.88,0.5762,0.6051,65.37,143,10,20,10,10,0,SUP-ELECTRIC-DE,Rhine Electric Parts,DE,0.91,0.8,143,65.33823809523808,5.7897000000000105,21.886108698776386,82.58823809523808,-60.41176190476192,46,medium,0.0,Order 46 buc pentru a acoperi lead time + safety stock.,monitor,0,low,"Stocul acopera forecast-ul pe orizontul analizat. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-BATT-70AH,SE_STO,Baterie 70Ah AGM/EFB,battery,Stockholm,Sweden,Nordic,131.4688,6.260419047619047,6.6905,-4.496666666666667,-5.53,-3.03,0,21,9,0,0,0,0,0,21,0,21,21,21,5.571428571428571,144.0,117.0,12.37,0.4828,0.5933,64.54,143,10,20,10,10,0,SUP-ELECTRIC-DE,Rhine Electric Parts,DE,0.91,0.8,143,62.60419047619047,11.531200000000013,22.841917780642454,79.29469047619047,-63.70530952380953,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",monitor,0,low,"Stocul acopera forecast-ul pe orizontul analizat. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-SUMMER-TIRE-205,RO_BUC,Anvelopa vara 205/55R16,tires,Bucharest,Romania,East,39.1029,1.862042857142857,2.0054,-0.7733333333333334,-2.37,0.23,0,21,0,0,0,0,0,3,21,0,21,21,21,1.8392857142857144,35.0,38.625,1.24,2.6683,0.0,58.78,221,20,40,20,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,221,39.1029,181.8971,118.68678557287319,61.1083,-159.89170000000001,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,181,medium,"Stoc peste optim: acoperire 4.0x fata de cererea estimata pe 30 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-AC-REFILL,RO_BUC,Kit incarcare clima R134a/R1234yf,ac_cooling,Bucharest,Romania,East,57.5691,2.7413857142857143,3.353,-0.7733333333333334,-2.37,0.23,0,21,0,0,0,0,0,3,21,0,21,21,21,2.732142857142857,50.0,57.375,0.34,2.9916,3.9404,91.55,218,15,30,15,14,0,SUP-CLIMATE-ES,Iberia Climate Systems,ES,0.87,1.3,218,38.379400000000004,160.4309,79.52179780545893,56.732400000000005,-161.2676,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,188,medium,Stoc peste optim: acoperire 2.6x fata de cererea estimata pe 30 zile.
PEU-SUMMER-TIRE-205,CZ_PRG,Anvelopa vara 205/55R16,tires,Prague,Czechia,Central,39.5051,1.881195238095238,2.05,-1.0623809523809524,-2.47,0.02,0,21,0,0,0,0,0,3,21,0,21,21,21,1.9464285714285716,40.0,40.875,-3.35,2.6855,0.0,59.73,218,20,40,20,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,218,39.5051,178.4949,115.88371036757489,61.555099999999996,-156.44490000000002,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,178,medium,"Stoc peste optim: acoperire 3.9x fata de cererea estimata pe 30 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-BRAKE-FLUID-DOT4,PL_WAW,Lichid frana DOT4 1L,brakes,Warsaw,Poland,Central,105.4324,5.020590476190476,5.8674,-1.7014285714285713,-3.21,-0.84,0,21,0,0,0,0,0,3,21,0,21,21,21,5.214285714285714,107.0,109.5,-3.71,0.1077,0.0,17.65,270,40,80,40,10,0,SUP-BRAKES-IT,Nord Italia Braking,IT,0.88,1.1,270,50.20590476190476,164.5676,53.77852416003992,96.07330476190477,-173.92669523809525,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",monitor,0,low,"Stocul acopera forecast-ul pe orizontul analizat. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-AC-REFILL,ES_MAD,Kit incarcare clima R134a/R1234yf,ac_cooling,Madrid,Spain,South,55.9592,2.6647238095238097,3.1545,7.093809523809524,5.75,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,2.767857142857143,53.0,58.125,-3.73,2.5814,5.1764,93.66,217,15,30,15,14,0,SUP-CLIMATE-ES,Iberia Climate Systems,ES,0.87,1.3,217,37.306133333333335,161.0408,81.43430016654447,55.460633333333334,-161.53936666666667,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,187,medium,Stoc peste optim: acoperire 2.7x fata de cererea estimata pe 30 zile.
PEU-SUMMER-TIRE-205,IT_MIL,Anvelopa vara 205/55R16,tires,Milan,Italy,South,39.6798,1.8895142857142857,2.018,5.016190476190476,3.72,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9642857142857144,40.0,41.25,-3.81,2.6529,0.0,60.17,219,20,40,20,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,219,39.6798,179.3202,115.90274058947999,61.6978,-157.3022,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,179,medium,"Stoc peste optim: acoperire 3.9x fata de cererea estimata pe 30 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-AC-REFILL,PL_WAW,Kit incarcare clima R134a/R1234yf,ac_cooling,Warsaw,Poland,Central,57.3456,2.730742857142857,3.2859,-1.7014285714285713,-3.21,-0.84,0,21,0,0,0,0,0,3,21,0,21,21,21,2.8392857142857144,54.0,59.625,-3.82,2.3448,2.0618,81.71,216,15,30,15,14,0,SUP-CLIMATE-ES,Iberia Climate Systems,ES,0.87,1.3,216,38.230399999999996,158.6544,79.09932652050276,56.516299999999994,-159.4837,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,186,medium,Stoc peste optim: acoperire 2.6x fata de cererea estimata pe 30 zile.
PEU-SUMMER-TIRE-205,PL_WAW,Anvelopa vara 205/55R16,tires,Warsaw,Poland,Central,39.6681,1.888957142857143,2.0488,-1.7014285714285713,-3.21,-0.84,0,21,0,0,0,0,0,3,21,0,21,21,21,1.9642857142857144,40.0,41.25,-3.83,2.6584,0.0,59.35,218,20,40,20,21,0,SUP-TIRES-PL,Central Europe Tyres,PL,0.89,1.0,218,39.6681,178.3319,115.40753341959403,61.7169,-156.2831,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,178,medium,"Stoc peste optim: acoperire 3.9x fata de cererea estimata pe 30 zile. Include fereastra de salariu, unde istoricul are uplift de cerere."
PEU-ADBLUE-10L,RO_BUC,AdBlue 10L,consumables,Bucharest,Romania,East,133.5922,6.361533333333333,6.9411,-0.7733333333333334,-2.37,0.23,0,21,0,0,0,0,0,3,21,0,21,21,21,6.625,137.0,139.125,-3.98,0.0711,0.0198,22.41,375,60,120,60,7,0,SUP-FLUIDS-EU,EuroFluids Logistics,DE,0.93,0.6,375,44.53073333333333,241.4078,58.94804309002393,111.47183333333334,-263.52816666666666,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",monitor,0,low,Stocul acopera forecast-ul pe orizontul analizat.
PEU-AC-REFILL,EE_TLL,Kit incarcare clima R134a/R1234yf,ac_cooling,Tallinn,Estonia,Nordic,59.988,2.8565714285714288,3.3913,-5.933333333333333,-7.29,-4.45,0,21,17,0,0,0,0,3,21,0,21,21,21,2.982142857142857,57.0,62.625,-4.21,2.149,1.542,81.04,216,15,30,15,14,0,SUP-CLIMATE-ES,Iberia Climate Systems,ES,0.87,1.3,216,39.992000000000004,156.012,75.615096554027,58.383300000000006,-157.61669999999998,0,ok,0.0,"Monitorizeaza, stocul acopera scenariul curent.",reduce,186,medium,Stoc peste optim: acoperire 2.5x fata de cererea estimata pe 30 zile.
