date,location_id,temperature_c,rain_mm,snow_cm,temp_change_1d_c,temp_change_3d_c,abs_temp_change_3d_c,cold_snap_flag,heatwave_flag,weather_spike_flag,temperature_drop_flag,temperature_rise_flag,fuel_price_eur_l,mobility_index
2024-01-28,FI_HEL,-6.5,1.5,8.7,0.2,0.3,0.3,1,0,1,0,0,1.67,0.977
2024-01-29,FI_HEL,-6.6,1.5,9.0,-0.1,0.0,0.0,1,0,1,0,0,1.67,0.978
2024-01-30,FI_HEL,-6.6,0.9,9.0,0.0,0.1,0.1,1,0,1,0,0,1.67,0.98
2024-01-31,FI_HEL,-6.8,1.2,9.1,-0.2,-0.3,0.3,1,0,1,0,0,1.67,0.981
2024-02-01,FI_HEL,-6.5,1.0,8.9,0.3,0.1,0.1,1,0,1,0,0,1.67,0.982
2024-02-02,FI_HEL,-6.5,1.7,8.7,0.0,0.1,0.1,1,0,1,0,0,1.67,0.984
2024-02-03,FI_HEL,-6.3,1.3,8.8,0.2,0.5,0.5,1,0,1,0,0,1.67,0.985
2024-02-04,FI_HEL,-6.3,1.1,8.7,0.0,0.2,0.2,1,0,1,0,0,1.67,0.986
2024-02-05,FI_HEL,-6.1,1.1,8.7,0.2,0.4,0.4,1,0,1,0,0,1.67,0.988
2024-02-06,FI_HEL,-6.2,1.3,8.6,-0.1,0.1,0.1,1,0,1,0,0,1.67,0.989
2024-02-07,FI_HEL,-6.2,1.1,8.8,0.0,0.1,0.1,1,0,1,0,0,1.67,0.99
2024-02-08,FI_HEL,-6.2,1.6,8.4,0.0,-0.1,0.1,1,0,1,0,0,1.67,0.992
2024-02-09,FI_HEL,-5.9,1.0,8.5,0.3,0.3,0.3,1,0,1,0,0,1.67,0.993
2024-02-10,FI_HEL,-5.9,0.9,8.5,0.0,0.3,0.3,1,0,1,0,0,1.68,0.994
2024-02-11,FI_HEL,-5.8,1.6,8.5,0.1,0.4,0.4,1,0,1,0,0,1.68,0.996
2024-02-12,FI_HEL,-5.8,1.1,8.2,0.0,0.1,0.1,1,0,1,0,0,1.68,0.997
2024-02-13,FI_HEL,-5.6,1.6,7.9,0.2,0.3,0.3,1,0,1,0,0,1.68,0.999
2024-02-14,FI_HEL,-5.5,1.4,8.3,0.1,0.3,0.3,1,0,1,0,0,1.68,1.0
2024-02-15,FI_HEL,-5.4,0.9,7.8,0.1,0.4,0.4,1,0,1,0,0,1.68,1.001
2024-02-16,FI_HEL,-5.0,1.0,7.3,0.4,0.6,0.6,1,0,1,0,0,1.68,1.003
2024-02-17,FI_HEL,-4.9,1.2,7.3,0.1,0.6,0.6,1,0,1,0,0,1.68,1.004
2024-02-18,FI_HEL,-4.7,1.1,7.2,0.2,0.7,0.7,1,0,1,0,0,1.68,1.006
2024-02-19,FI_HEL,-4.3,1.3,6.7,0.4,0.7,0.7,1,0,1,0,0,1.68,1.007
2024-02-20,FI_HEL,-4.1,1.0,6.7,0.2,0.8,0.8,1,0,1,0,0,1.68,1.008
2024-02-21,FI_HEL,-4.1,1.2,6.8,0.0,0.6,0.6,1,0,1,0,0,1.68,1.01
2024-02-22,FI_HEL,-4.0,1.5,6.5,0.1,0.3,0.3,1,0,1,0,0,1.68,1.011
2024-02-23,FI_HEL,-4.0,1.5,6.7,0.0,0.1,0.1,1,0,1,0,0,1.68,1.012
2024-02-24,FI_HEL,-4.2,1.0,6.7,-0.2,-0.1,0.1,1,0,1,0,0,1.68,1.014
2024-02-25,FI_HEL,-4.2,1.1,6.6,0.0,-0.2,0.2,1,0,1,0,0,1.68,1.015
2024-02-26,FI_HEL,-4.2,1.2,7.0,0.0,-0.2,0.2,1,0,1,0,0,1.68,1.016
2024-02-27,FI_HEL,-4.0,0.9,6.6,0.2,0.2,0.2,1,0,1,0,0,1.68,1.018
2024-02-28,FI_HEL,-3.8,1.4,6.3,0.2,0.4,0.4,1,0,1,0,0,1.68,1.019
2024-02-29,FI_HEL,-3.7,1.3,5.8,0.1,0.5,0.5,1,0,1,0,0,1.68,1.02
2024-03-01,FI_HEL,-3.6,3.1,5.8,0.1,0.4,0.4,1,0,1,0,0,1.68,1.022
2024-03-02,FI_HEL,-3.5,3.0,5.7,0.1,0.3,0.3,1,0,1,0,0,1.68,1.023
2024-03-03,FI_HEL,-3.5,3.2,6.0,0.0,0.2,0.2,1,0,1,0,0,1.69,1.024
2024-03-04,FI_HEL,-3.6,3.2,6.1,-0.1,0.0,0.0,1,0,1,0,0,1.69,1.026
2024-03-05,FI_HEL,-3.4,3.3,6.0,0.2,0.1,0.1,1,0,1,0,0,1.69,1.027
2024-03-06,FI_HEL,-3.1,3.0,5.8,0.3,0.4,0.4,1,0,1,0,0,1.69,1.028
2024-03-07,FI_HEL,-2.9,3.1,5.1,0.2,0.7,0.7,1,0,1,0,0,1.69,1.03
2024-03-08,FI_HEL,-2.6,2.9,4.8,0.3,0.8,0.8,1,0,1,0,0,1.69,1.031
2024-03-09,FI_HEL,-2.4,2.9,4.7,0.2,0.7,0.7,1,0,1,0,0,1.69,1.032
2024-03-10,FI_HEL,-2.2,3.2,4.7,0.2,0.7,0.7,1,0,1,0,0,1.69,1.033
2024-03-11,FI_HEL,-2.3,3.0,4.8,-0.1,0.3,0.3,1,0,1,0,0,1.69,1.035
2024-03-12,FI_HEL,-2.1,3.0,4.4,0.2,0.3,0.3,1,0,1,0,0,1.69,1.036
2024-03-13,FI_HEL,-1.7,3.2,4.1,0.4,0.5,0.5,0,0,1,0,0,1.69,1.037
2024-03-14,FI_HEL,-1.5,3.2,4.1,0.2,0.8,0.8,0,0,1,0,0,1.69,1.038
2024-03-15,FI_HEL,-1.2,2.8,3.7,0.3,0.9,0.9,0,0,1,0,0,1.69,1.04
2024-03-16,FI_HEL,-0.9,2.8,3.6,0.3,0.8,0.8,0,0,1,0,0,1.69,1.041
2024-03-17,FI_HEL,-0.6,3.2,3.0,0.3,0.9,0.9,0,0,1,0,0,1.69,1.042
2024-03-18,FI_HEL,-0.7,3.1,3.2,-0.1,0.5,0.5,0,0,1,0,0,1.69,1.043
2024-03-19,FI_HEL,-0.3,2.9,2.6,0.4,0.6,0.6,0,0,1,0,0,1.69,1.044
2024-03-20,FI_HEL,-0.3,3.3,3.0,0.0,0.3,0.3,0,0,1,0,0,1.69,1.045
2024-03-21,FI_HEL,0.0,3.0,2.7,0.3,0.7,0.7,0,0,1,0,0,1.69,1.046
2024-03-22,FI_HEL,0.2,2.5,2.4,0.2,0.5,0.5,0,0,1,0,0,1.69,1.048
2024-03-23,FI_HEL,0.4,2.8,2.3,0.2,0.7,0.7,0,0,1,0,0,1.69,1.049
2024-03-24,FI_HEL,0.5,2.6,2.2,0.1,0.5,0.5,0,0,1,0,0,1.69,1.05
2024-03-25,FI_HEL,0.8,3.3,2.0,0.3,0.6,0.6,0,0,1,0,0,1.69,1.051
2024-03-26,FI_HEL,0.7,3.1,2.1,-0.1,0.3,0.3,0,0,1,0,0,1.69,1.052
2024-03-27,FI_HEL,0.9,3.0,1.4,0.2,0.4,0.4,0,0,1,0,0,1.69,1.053
2024-03-28,FI_HEL,1.1,2.4,1.2,0.2,0.3,0.3,0,0,1,0,0,1.69,1.054
2024-03-29,FI_HEL,1.2,2.6,1.6,0.1,0.5,0.5,0,0,1,0,0,1.69,1.055
2024-03-30,FI_HEL,1.4,3.0,1.0,0.2,0.5,0.5,0,0,1,0,0,1.69,1.056
2024-03-31,FI_HEL,1.8,2.6,0.0,0.4,0.7,0.7,0,0,0,0,0,1.69,1.057
2024-04-01,FI_HEL,1.9,3.2,0.0,0.1,0.7,0.7,0,0,0,0,0,1.69,1.058
2024-04-02,FI_HEL,2.0,3.0,0.0,0.1,0.6,0.6,0,0,0,0,0,1.69,1.059
2024-04-03,FI_HEL,2.1,3.0,0.0,0.1,0.3,0.3,0,0,0,0,0,1.69,1.06
2024-04-04,FI_HEL,2.3,3.0,0.0,0.2,0.4,0.4,0,0,0,0,0,1.69,1.061
2024-04-05,FI_HEL,2.6,2.8,0.0,0.3,0.6,0.6,0,0,0,0,0,1.69,1.062
2024-04-06,FI_HEL,3.0,2.7,0.0,0.4,0.9,0.9,0,0,0,0,0,1.69,1.062
2024-04-07,FI_HEL,3.4,2.5,0.0,0.4,1.1,1.1,0,0,0,0,0,1.69,1.063
2024-04-08,FI_HEL,3.6,3.0,0.0,0.2,1.0,1.0,0,0,0,0,0,1.69,1.064
2024-04-09,FI_HEL,3.7,3.1,0.0,0.1,0.7,0.7,0,0,0,0,0,1.69,1.065
2024-04-10,FI_HEL,3.6,2.9,0.0,-0.1,0.2,0.2,0,0,0,0,0,1.69,1.066
2024-04-11,FI_HEL,3.8,2.9,0.0,0.2,0.2,0.2,0,0,0,0,0,1.69,1.066
2024-04-12,FI_HEL,4.1,2.8,0.0,0.3,0.4,0.4,0,0,0,0,0,1.69,1.067
2024-04-13,FI_HEL,4.4,3.1,0.0,0.3,0.8,0.8,0,0,0,0,0,1.69,1.068
2024-04-14,FI_HEL,4.8,2.4,0.0,0.4,1.0,1.0,0,0,0,0,0,1.69,1.069
2024-04-15,FI_HEL,5.2,2.7,0.0,0.4,1.1,1.1,0,0,0,0,0,1.69,1.069
2024-04-16,FI_HEL,5.4,2.8,0.0,0.2,1.0,1.0,0,0,0,0,0,1.69,1.07
2024-04-17,FI_HEL,5.6,2.9,0.0,0.2,0.8,0.8,0,0,0,0,0,1.69,1.071
2024-04-18,FI_HEL,5.9,3.1,0.0,0.3,0.7,0.7,0,0,0,0,0,1.69,1.071
2024-04-19,FI_HEL,6.1,3.0,0.0,0.2,0.7,0.7,0,0,0,0,0,1.69,1.072
2024-04-20,FI_HEL,6.2,3.0,0.0,0.1,0.6,0.6,0,0,0,0,0,1.69,1.073
2024-04-21,FI_HEL,6.2,3.3,0.0,0.0,0.3,0.3,0,0,0,0,0,1.69,1.073
2024-04-22,FI_HEL,6.4,3.3,0.0,0.2,0.3,0.3,0,0,0,0,0,1.69,1.074
2024-04-23,FI_HEL,6.5,3.2,0.0,0.1,0.3,0.3,0,0,0,0,0,1.69,1.074
2024-04-24,FI_HEL,6.6,3.3,0.0,0.1,0.4,0.4,0,0,0,0,0,1.69,1.075
2024-04-25,FI_HEL,7.1,3.4,0.0,0.5,0.7,0.7,0,0,0,0,0,1.69,1.075
2024-04-26,FI_HEL,7.4,3.1,0.0,0.3,0.9,0.9,0,0,0,0,0,1.69,1.076
2024-04-27,FI_HEL,7.6,2.7,0.0,0.2,1.0,1.0,0,0,0,0,0,1.69,1.076
2024-04-28,FI_HEL,8.0,3.3,0.0,0.4,0.9,0.9,0,0,0,0,0,1.69,1.076
2024-04-29,FI_HEL,8.3,2.8,0.0,0.3,0.9,0.9,0,0,0,0,0,1.69,1.077
2024-04-30,FI_HEL,8.4,3.5,0.0,0.1,0.8,0.8,0,0,1,0,0,1.69,1.077
2024-05-01,FI_HEL,8.7,1.6,0.0,0.3,0.7,0.7,0,0,0,0,0,1.68,1.078
2024-05-02,FI_HEL,8.8,1.1,0.0,0.1,0.5,0.5,0,0,0,0,0,1.68,1.078
2024-05-03,FI_HEL,9.0,0.9,0.0,0.2,0.6,0.6,0,0,0,0,0,1.68,1.078
2024-05-04,FI_HEL,9.2,1.0,0.0,0.2,0.5,0.5,0,0,0,0,0,1.68,1.079
2024-05-05,FI_HEL,9.4,1.2,0.0,0.2,0.6,0.6,0,0,0,0,0,1.68,1.079
2024-05-06,FI_HEL,9.7,1.5,0.0,0.3,0.7,0.7,0,0,0,0,0,1.68,1.079
2024-05-07,FI_HEL,10.1,0.9,0.0,0.4,0.9,0.9,0,0,0,0,0,1.68,1.079
2024-05-08,FI_HEL,10.2,1.4,0.0,0.1,0.8,0.8,0,0,0,0,0,1.68,1.079
2024-05-09,FI_HEL,10.2,0.7,0.0,0.0,0.5,0.5,0,0,0,0,0,1.68,1.08
2024-05-10,FI_HEL,10.1,1.5,0.0,-0.1,0.0,0.0,0,0,0,0,0,1.68,1.08
2024-05-11,FI_HEL,10.2,1.2,0.0,0.1,0.0,0.0,0,0,0,0,0,1.68,1.08
2024-05-12,FI_HEL,10.3,1.2,0.0,0.1,0.1,0.1,0,0,0,0,0,1.68,1.08
2024-05-13,FI_HEL,10.4,1.2,0.0,0.1,0.3,0.3,0,0,0,0,0,1.68,1.08
2024-05-14,FI_HEL,10.7,1.4,0.0,0.3,0.5,0.5,0,0,0,0,0,1.68,1.08
2024-05-15,FI_HEL,11.2,1.3,0.0,0.5,0.9,0.9,0,0,0,0,0,1.68,1.08
2024-05-16,FI_HEL,11.6,1.6,0.0,0.4,1.2,1.2,0,0,0,0,0,1.68,1.08
2024-05-17,FI_HEL,11.9,0.8,0.0,0.3,1.2,1.2,0,0,0,0,0,1.68,1.08
2024-05-18,FI_HEL,12.1,1.0,0.0,0.2,0.9,0.9,0,0,0,0,0,1.68,1.08
2024-05-19,FI_HEL,12.1,0.9,0.0,0.0,0.5,0.5,0,0,0,0,0,1.68,1.08
2024-05-20,FI_HEL,12.2,1.4,0.0,0.1,0.3,0.3,0,0,0,0,0,1.68,1.08
2024-05-21,FI_HEL,12.2,0.8,0.0,0.0,0.1,0.1,0,0,0,0,0,1.68,1.08
2024-05-22,FI_HEL,12.2,1.8,0.0,0.0,0.1,0.1,0,0,0,0,0,1.68,1.079
2024-05-23,FI_HEL,12.5,1.2,0.0,0.3,0.3,0.3,0,0,0,0,0,1.68,1.079
2024-05-24,FI_HEL,12.8,1.5,0.0,0.3,0.6,0.6,0,0,0,0,0,1.67,1.079
2024-05-25,FI_HEL,13.0,1.0,0.0,0.2,0.8,0.8,0,0,0,0,0,1.67,1.079
2024-05-26,FI_HEL,13.5,1.2,0.0,0.5,1.0,1.0,0,0,0,0,0,1.67,1.079
2024-05-27,FI_HEL,13.7,1.4,0.0,0.2,0.9,0.9,0,0,0,0,0,1.67,1.078
2024-05-28,FI_HEL,13.8,1.0,0.0,0.1,0.8,0.8,0,0,0,0,0,1.67,1.078
2024-05-29,FI_HEL,14.1,1.1,0.0,0.3,0.6,0.6,0,0,0,0,0,1.67,1.078
2024-05-30,FI_HEL,14.0,1.6,0.0,-0.1,0.3,0.3,0,0,0,0,0,1.67,1.077
2024-05-31,FI_HEL,14.0,1.5,0.0,0.0,0.2,0.2,0,0,0,0,0,1.67,1.077
2024-06-01,FI_HEL,14.1,1.3,0.0,0.1,0.0,0.0,0,0,0,0,0,1.67,1.077
2024-06-02,FI_HEL,14.2,1.7,0.0,0.1,0.2,0.2,0,0,0,0,0,1.67,1.076
2024-06-03,FI_HEL,14.4,0.7,0.0,0.2,0.4,0.4,0,0,0,0,0,1.67,1.076
2024-06-04,FI_HEL,14.5,1.3,0.0,0.1,0.4,0.4,0,0,0,0,0,1.67,1.075
2024-06-05,FI_HEL,14.6,1.1,0.0,0.1,0.4,0.4,0,0,0,0,0,1.67,1.075
2024-06-06,FI_HEL,14.6,1.6,0.0,0.0,0.2,0.2,0,0,0,0,0,1.67,1.074
2024-06-07,FI_HEL,14.8,1.5,0.0,0.2,0.3,0.3,0,0,0,0,0,1.67,1.074
2024-06-08,FI_HEL,15.0,1.5,0.0,0.2,0.4,0.4,0,0,0,0,0,1.67,1.073
2024-06-09,FI_HEL,15.3,1.1,0.0,0.3,0.7,0.7,0,0,0,0,0,1.67,1.073
2024-06-10,FI_HEL,15.7,1.3,0.0,0.4,0.9,0.9,0,0,0,0,0,1.66,1.072
2024-06-11,FI_HEL,16.1,1.5,0.0,0.4,1.1,1.1,0,0,0,0,0,1.66,1.072
2024-06-12,FI_HEL,16.1,1.5,0.0,0.0,0.8,0.8,0,0,0,0,0,1.66,1.071
2024-06-13,FI_HEL,16.4,1.0,0.0,0.3,0.7,0.7,0,0,0,0,0,1.66,1.07
2024-06-14,FI_HEL,16.4,1.0,0.0,0.0,0.3,0.3,0,0,0,0,0,1.66,1.07
2024-06-15,FI_HEL,16.3,1.3,0.0,-0.1,0.2,0.2,0,0,0,0,0,1.66,1.069
2024-06-16,FI_HEL,16.4,1.5,0.0,0.1,0.0,0.0,0,0,0,0,0,1.66,1.068
2024-06-17,FI_HEL,16.5,1.4,0.0,0.1,0.1,0.1,0,0,0,0,0,1.66,1.068
2024-06-18,FI_HEL,20.5,1.5,0.0,4.0,4.2,4.2,0,1,1,0,1,1.66,1.067
2024-06-19,FI_HEL,20.7,0.7,0.0,0.2,4.3,4.3,0,1,1,0,1,1.66,1.066
2024-06-20,FI_HEL,20.8,1.1,0.0,0.1,4.3,4.3,0,1,1,0,1,1.66,1.065
2024-06-21,FI_HEL,20.8,1.3,0.0,0.0,0.3,0.3,0,0,0,0,0,1.66,1.065
2024-06-22,FI_HEL,21.1,1.3,0.0,0.3,0.4,0.4,0,0,0,0,0,1.66,1.064
2024-06-23,FI_HEL,21.0,0.7,0.0,-0.1,0.2,0.2,0,0,0,0,0,1.66,1.063
2024-06-24,FI_HEL,20.9,1.5,0.0,-0.1,0.1,0.1,0,0,0,0,0,1.66,1.062
2024-06-25,FI_HEL,17.0,1.3,0.0,-3.9,-4.1,4.1,1,0,1,1,0,1.65,1.061
2024-06-26,FI_HEL,17.1,1.1,0.0,0.1,-3.9,3.9,1,0,1,1,0,1.65,1.06
2024-06-27,FI_HEL,17.1,1.5,0.0,0.0,-3.8,3.8,1,0,1,1,0,1.65,1.059
2024-06-28,FI_HEL,17.4,0.8,0.0,0.3,0.4,0.4,0,0,0,0,0,1.65,1.058
2024-06-29,FI_HEL,17.7,1.1,0.0,0.3,0.6,0.6,0,0,0,0,0,1.65,1.057
2024-06-30,FI_HEL,17.7,1.4,0.0,0.0,0.6,0.6,0,0,0,0,0,1.65,1.056
2024-07-01,FI_HEL,17.9,1.3,0.0,0.2,0.5,0.5,0,0,0,0,0,1.65,1.115
2024-07-02,FI_HEL,17.9,1.1,0.0,0.0,0.2,0.2,0,0,0,0,0,1.65,1.114
2024-07-03,FI_HEL,17.9,1.2,0.0,0.0,0.2,0.2,0,0,0,0,0,1.65,1.113
2024-07-04,FI_HEL,17.9,1.1,0.0,0.0,0.0,0.0,0,0,0,0,0,1.65,1.112
2024-07-05,FI_HEL,18.0,1.4,0.0,0.1,0.1,0.1,0,0,0,0,0,1.65,1.111
2024-07-06,FI_HEL,17.9,1.1,0.0,-0.1,0.0,0.0,0,0,0,0,0,1.65,1.11
2024-07-07,FI_HEL,17.7,1.4,0.0,-0.2,-0.2,0.2,0,0,0,0,0,1.65,1.109
2024-07-08,FI_HEL,17.7,0.7,0.0,0.0,-0.3,0.3,0,0,0,0,0,1.65,1.108
2024-07-09,FI_HEL,17.6,1.5,0.0,-0.1,-0.3,0.3,0,0,0,0,0,1.64,1.107
2024-07-10,FI_HEL,22.6,1.8,0.0,5.0,4.9,4.9,0,1,1,0,1,1.64,1.106
2024-07-11,FI_HEL,22.7,1.3,0.0,0.1,5.0,5.0,0,1,1,0,1,1.64,1.105
2024-07-12,FI_HEL,23.1,1.2,0.0,0.4,5.5,5.5,0,1,1,0,1,1.64,1.104
2024-07-13,FI_HEL,23.0,1.1,0.0,-0.1,0.4,0.4,0,0,0,0,0,1.64,1.102
2024-07-14,FI_HEL,22.9,1.4,0.0,-0.1,0.2,0.2,0,0,0,0,0,1.64,1.101
2024-07-15,FI_HEL,22.8,1.0,0.0,-0.1,-0.3,0.3,0,0,0,0,0,1.64,1.1
2024-07-16,FI_HEL,22.8,1.0,0.0,0.0,-0.2,0.2,0,0,0,0,0,1.64,1.099
2024-07-17,FI_HEL,22.8,0.7,0.0,0.0,-0.1,0.1,0,0,0,0,0,1.64,1.098
2024-07-18,FI_HEL,17.8,1.3,0.0,-5.0,-5.0,5.0,1,0,1,1,0,1.64,1.096
2024-07-19,FI_HEL,17.9,1.1,0.0,0.1,-4.9,4.9,1,0,1,1,0,1.64,1.095
2024-07-20,FI_HEL,18.1,1.1,0.0,0.2,-4.7,4.7,1,0,1,1,0,1.64,1.094
2024-07-21,FI_HEL,18.0,1.2,0.0,-0.1,0.2,0.2,0,0,0,0,0,1.64,1.093
2024-07-22,FI_HEL,18.0,1.0,0.0,0.0,0.1,0.1,0,0,0,0,0,1.64,1.091
2024-07-23,FI_HEL,18.0,1.2,0.0,0.0,-0.1,0.1,0,0,0,0,0,1.64,1.09
2024-07-24,FI_HEL,18.1,0.9,0.0,0.1,0.1,0.1,0,0,0,0,0,1.63,1.089
2024-07-25,FI_HEL,18.0,1.2,0.0,-0.1,0.0,0.0,0,0,0,0,0,1.63,1.088
2024-07-26,FI_HEL,18.0,1.1,0.0,0.0,0.0,0.0,0,0,0,0,0,1.63,1.086
2024-07-27,FI_HEL,18.0,0.8,0.0,0.0,-0.1,0.1,0,0,0,0,0,1.63,1.085
2024-07-28,FI_HEL,18.0,0.9,0.0,0.0,0.0,0.0,0,0,0,0,0,1.63,1.084
2024-07-29,FI_HEL,17.8,1.1,0.0,-0.2,-0.2,0.2,0,0,0,0,0,1.63,1.082
2024-07-30,FI_HEL,17.8,1.1,0.0,0.0,-0.2,0.2,0,0,0,0,0,1.63,1.081
2024-07-31,FI_HEL,17.8,1.3,0.0,0.0,-0.2,0.2,0,0,0,0,0,1.63,1.08
2024-08-01,FI_HEL,17.6,1.1,0.0,-0.2,-0.2,0.2,0,0,0,0,0,1.63,1.078
2024-08-02,FI_HEL,17.5,1.2,0.0,-0.1,-0.3,0.3,0,0,0,0,0,1.63,1.077
2024-08-03,FI_HEL,17.5,1.1,0.0,0.0,-0.3,0.3,0,0,0,0,0,1.63,1.076
2024-08-04,FI_HEL,17.4,0.6,0.0,-0.1,-0.2,0.2,0,0,0,0,0,1.63,1.074
2024-08-05,FI_HEL,17.2,1.2,0.0,-0.2,-0.3,0.3,0,0,0,0,0,1.63,1.073
2024-08-06,FI_HEL,17.1,1.0,0.0,-0.1,-0.4,0.4,0,0,0,0,0,1.63,1.072
2024-08-07,FI_HEL,16.9,1.2,0.0,-0.2,-0.5,0.5,0,0,0,0,0,1.63,1.07
2024-08-08,FI_HEL,16.7,1.0,0.0,-0.2,-0.5,0.5,0,0,0,0,0,1.63,1.069
2024-08-09,FI_HEL,16.6,1.4,0.0,-0.1,-0.5,0.5,0,0,0,0,0,1.63,1.068
2024-08-10,FI_HEL,16.5,1.2,0.0,-0.1,-0.4,0.4,0,0,0,0,0,1.62,1.066
2024-08-11,FI_HEL,16.5,1.4,0.0,0.0,-0.2,0.2,0,0,0,0,0,1.62,1.065
2024-08-12,FI_HEL,16.6,1.4,0.0,0.1,0.0,0.0,0,0,0,0,0,1.62,1.063
2024-08-13,FI_HEL,16.6,1.1,0.0,0.0,0.1,0.1,0,0,0,0,0,1.62,1.062
2024-08-14,FI_HEL,16.5,1.4,0.0,-0.1,0.0,0.0,0,0,0,0,0,1.62,1.061
2024-08-15,FI_HEL,16.4,1.3,0.0,-0.1,-0.2,0.2,0,0,0,0,0,1.62,1.059
2024-08-16,FI_HEL,16.2,0.9,0.0,-0.2,-0.4,0.4,0,0,0,0,0,1.62,1.058
2024-08-17,FI_HEL,16.0,1.2,0.0,-0.2,-0.5,0.5,0,0,0,0,0,1.62,1.057
2024-08-18,FI_HEL,15.9,1.2,0.0,-0.1,-0.5,0.5,0,0,0,0,0,1.62,1.055
2024-08-19,FI_HEL,16.0,1.5,0.0,0.1,-0.2,0.2,0,0,0,0,0,1.62,1.054
2024-08-20,FI_HEL,16.1,1.1,0.0,0.1,0.1,0.1,0,0,0,0,0,1.62,1.052
2024-08-21,FI_HEL,16.2,1.6,0.0,0.1,0.3,0.3,0,0,0,0,0,1.62,1.051
2024-08-22,FI_HEL,16.3,1.4,0.0,0.1,0.3,0.3,0,0,0,0,0,1.62,1.05
2024-08-23,FI_HEL,16.1,0.7,0.0,-0.2,0.0,0.0,0,0,0,0,0,1.62,1.048
2024-08-24,FI_HEL,15.9,0.9,0.0,-0.2,-0.3,0.3,0,0,0,0,0,1.62,1.047
2024-08-25,FI_HEL,15.7,1.3,0.0,-0.2,-0.6,0.6,0,0,0,0,0,1.62,1.046
2024-08-26,FI_HEL,15.5,0.8,0.0,-0.2,-0.6,0.6,0,0,0,0,0,1.62,1.044
2024-08-27,FI_HEL,15.3,1.3,0.0,-0.2,-0.6,0.6,0,0,0,0,0,1.62,1.043
2024-08-28,FI_HEL,15.5,1.5,0.0,0.2,-0.2,0.2,0,0,0,0,0,1.62,1.042
2024-08-29,FI_HEL,15.4,1.1,0.0,-0.1,-0.1,0.1,0,0,0,0,0,1.62,1.04
